Names,IC50_glucosidase
G_cowa,0.630757381
G_cowa,0.608844381
G_cowa,0.644283782
P_debilis,0.697792869
P_debilis,0.727287099
P_debilis,0.731095424
P_evecta_leaf,0.575489784
P_evecta_leaf,0.572705659
P_evecta_leaf,0.566191922
P_evecta_Rhizome,0.641052022
P_evecta_Rhizome,0.591332734
P_evecta_Rhizome,0.652539994
P_anamense,0.531791445
P_anamense,0.523258781
P_anamense,0.511069199
P_Kesiya,0.596354652
P_Kesiya,0.586174114
P_Kesiya,0.613579166
C_formosum,0.627348207
C_formosum,0.634787991
C_formosum,0.685348279
C_oblongifolius,0.498515812
C_oblongifolius,0.530108326
C_oblongifolius,0.439253073
