,Emax_amylase,Emax_glucosidase,IC50_amylase,IC50_glucosidase,Alkaloids,Antaquinones,Carotenoids,flavonoids,Reducing_sugars,Saponins,Tannins,Xanthones
Emax_amylase,1.0,0.195,-0.618,0.686,-0.108,0.174,0.135,0.143,-0.257,-0.221,-0.042,-0.113
Emax_glucosidase,0.195,1.0,-0.404,-0.887,0.248,0.038,0.049,0.353,0.363,-0.384,0.454,0.099
IC50_amylase,-0.618,-0.404,1.0,0.312,0.499,0.154,0.44,-0.269,0.016,0.095,-0.156,-0.107
IC50_glucosidase,0.686,-0.887,0.312,1.0,-0.163,,,0.26,-0.163,-0.737,-0.541,0.216
Alkaloids,-0.108,0.248,0.499,-0.163,1.0,0.179,0.384,-0.015,0.205,-0.136,0.109,0.074
Antaquinones,0.174,0.038,0.154,,0.179,1.0,-0.033,0.085,0.31,-0.077,0.158,-0.075
Carotenoids,0.135,0.049,0.44,,0.384,-0.033,1.0,-0.054,-0.108,0.049,-0.168,-0.075
flavonoids,0.143,0.353,-0.269,0.26,-0.015,0.085,-0.054,1.0,0.5,-0.396,-0.14,0.142
Reducing_sugars,-0.257,0.363,0.016,-0.163,0.205,0.31,-0.108,0.5,1.0,-0.3,0.18,0.005
Saponins,-0.221,-0.384,0.095,-0.737,-0.136,-0.077,0.049,-0.396,-0.3,1.0,-0.111,-0.292
Tannins,-0.042,0.454,-0.156,-0.541,0.109,0.158,-0.168,-0.14,0.18,-0.111,1.0,-0.3
Xanthones,-0.113,0.099,-0.107,0.216,0.074,-0.075,-0.075,0.142,0.005,-0.292,-0.3,1.0
