,Emax_amylase,Emax_glucosidase,IC50_amylase,IC50_glucosidase,Alkaloids,Antaquinones,Carotenoids,flavonoids,Reducing_sugars,Saponins,Tannins,Xanthones
Emax_amylase,1.0,0.195,0.965,0.283,-0.108,0.174,0.135,0.143,-0.257,-0.221,-0.042,-0.113
Emax_glucosidase,0.195,1.0,0.221,0.746,0.248,0.038,0.049,0.353,0.363,-0.384,0.454,0.099
IC50_amylase,0.965,0.221,1.0,0.246,-0.087,0.215,0.215,0.148,-0.202,-0.179,0.034,-0.173
IC50_glucosidase,0.283,0.746,0.246,1.0,0.08,-0.108,-0.108,0.332,0.326,-0.452,0.312,0.103
Alkaloids,-0.108,0.248,-0.087,0.08,1.0,0.179,0.384,-0.015,0.205,-0.136,0.109,0.074
Antaquinones,0.174,0.038,0.215,-0.108,0.179,1.0,-0.033,0.085,0.31,-0.077,0.158,-0.075
Carotenoids,0.135,0.049,0.215,-0.108,0.384,-0.033,1.0,-0.054,-0.108,0.049,-0.168,-0.075
flavonoids,0.143,0.353,0.148,0.332,-0.015,0.085,-0.054,1.0,0.5,-0.396,-0.14,0.142
Reducing_sugars,-0.257,0.363,-0.202,0.326,0.205,0.31,-0.108,0.5,1.0,-0.3,0.18,0.005
Saponins,-0.221,-0.384,-0.179,-0.452,-0.136,-0.077,0.049,-0.396,-0.3,1.0,-0.111,-0.292
Tannins,-0.042,0.454,0.034,0.312,0.109,0.158,-0.168,-0.14,0.18,-0.111,1.0,-0.3
Xanthones,-0.113,0.099,-0.173,0.103,0.074,-0.075,-0.075,0.142,0.005,-0.292,-0.3,1.0
