,Emax_amylase,Emax_glucosidase,IC50_amylase,IC50_glucosidase,Alkaloids,Antaquinones,Carotenoids,flavonoids,Reducing_sugars,Saponins,Tannins,Xanthones
Emax_amylase,0.0,0.2943191345307637,2.5483606880118167e-18,0.12300857615274327,0.5635657310399368,0.35006948354522854,0.4697889631622078,0.4441693358950047,0.16335940719063025,0.2330153457410961,0.8211168283572826,0.5457344521772969
Emax_glucosidase,0.2943191345307637,0.0,0.23322529288126254,1.4532120898972872e-06,0.17937110224668248,0.8382714907410918,0.7939060807585714,0.05164858935168212,0.04497702448571094,0.03282769584633292,0.010215763844835923,0.5957810414956688
IC50_amylase,2.5483606880118167e-18,0.23322529288126254,0.0,0.18260331097141233,0.6431669740348742,0.24580198700338798,0.24580198700338798,0.4272478226811681,0.274827563613971,0.3362940773806385,0.8565201920508978,0.3508549550242051
IC50_glucosidase,0.12300857615274327,1.4532120898972872e-06,0.18260331097141233,0.0,0.6677120963438666,0.5642363600248023,0.5642363600248023,0.06829390488661935,0.0734118019618689,0.010679240125250561,0.087720227641571,0.5801028931483916
Alkaloids,0.5635657310399368,0.17937110224668248,0.6431669740348742,0.6677120963438666,0.0,0.3354969366693913,0.03276876873182254,0.9354336229242051,0.2693029104300769,0.4647556543760458,0.5589413042113911,0.6924750701843402
Antaquinones,0.35006948354522854,0.8382714907410918,0.24580198700338798,0.5642363600248023,0.3354969366693913,0.0,0.858711512832948,0.6482307659393531,0.09013286574150033,0.680283640345518,0.39717747948129467,0.689169777279621
Carotenoids,0.4697889631622078,0.7939060807585714,0.24580198700338798,0.5642363600248023,0.03276876873182254,0.858711512832948,0.0,0.7734824422369242,0.5642363600248034,0.7948445566882226,0.3660428891128496,0.689169777279621
flavonoids,0.4441693358950047,0.05164858935168212,0.4272478226811681,0.06829390488661935,0.9354336229242051,0.6482307659393531,0.7734824422369242,0.0,0.00415422384839492,0.027647162437584544,0.4523048767736343,0.44567590874738094
Reducing_sugars,0.16335940719063025,0.04497702448571094,0.274827563613971,0.0734118019618689,0.2693029104300769,0.09013286574150033,0.5642363600248034,0.00415422384839492,0.0,0.10139492522261266,0.3317691864358321,0.979683703762384
Saponins,0.2330153457410961,0.03282769584633292,0.3362940773806385,0.010679240125250561,0.4647556543760458,0.680283640345518,0.7948445566882226,0.027647162437584544,0.10139492522261266,0.0,0.5513955170616694,0.11121216754075405
Tannins,0.8211168283572826,0.010215763844835923,0.8565201920508978,0.087720227641571,0.5589413042113911,0.39717747948129467,0.3660428891128496,0.4523048767736343,0.3317691864358321,0.5513955170616694,0.0,0.10067819909794229
Xanthones,0.5457344521772969,0.5957810414956688,0.3508549550242051,0.5801028931483916,0.6924750701843402,0.689169777279621,0.689169777279621,0.44567590874738094,0.979683703762384,0.11121216754075405,0.10067819909794229,0.0
