Name_Short,G_cowa,P_debilis,P_evecta_leaf,P_evecta_Rhizome,E_cuneatum,P_anamense,A_marginata,E_cherrevensis,F_indica,H_perforata,R_dumetorum,C_filiformis,P_Kesiya,A_pulchellus,T_loureiri,R_succedanea,R_javanica,C_formosum,G_daltonii ,B_anceps,C_tomentosa,D_castanea_twig,D_castanea_leaf,L_coromandelica,E_succirubrum,T_mucronata,D_winitii,B_insulana,A_vanprukii,T_triptera,C_oblongifolius
G_cowa,1.0,0.997,0.999,0.851,0.998,0.829,0.704,0.997,0.997,0.91,0.981,0.927,0.999,0.981,0.994,0.92,0.998,0.998,0.863,0.64,0.81,0.986,0.968,0.925,0.949,0.923,0.995,0.989,0.903,0.939,0.567
P_debilis,0.997,1.0,0.997,0.849,0.997,0.825,0.693,0.998,0.999,0.905,0.978,0.923,0.998,0.98,0.993,0.911,0.997,0.997,0.852,0.635,0.802,0.983,0.969,0.922,0.947,0.927,0.996,0.99,0.897,0.933,0.561
P_evecta_leaf,0.999,0.997,1.0,0.868,0.996,0.849,0.729,0.997,0.996,0.924,0.975,0.938,1.0,0.988,0.992,0.93,0.997,1.0,0.879,0.668,0.831,0.992,0.96,0.939,0.959,0.91,0.993,0.984,0.917,0.951,0.596
P_evecta_Rhizome,0.851,0.849,0.868,1.0,0.818,0.992,0.957,0.845,0.822,0.984,0.745,0.981,0.868,0.884,0.803,0.976,0.827,0.879,0.986,0.942,0.98,0.916,0.693,0.977,0.959,0.586,0.805,0.766,0.973,0.963,0.906
E_cuneatum,0.998,0.997,0.996,0.818,1.0,0.796,0.667,0.998,0.999,0.889,0.988,0.904,0.996,0.977,0.997,0.898,0.998,0.993,0.835,0.599,0.779,0.977,0.979,0.905,0.936,0.942,0.998,0.995,0.884,0.921,0.516
P_anamense,0.829,0.825,0.849,0.992,0.796,1.0,0.978,0.824,0.798,0.983,0.724,0.962,0.847,0.871,0.781,0.965,0.806,0.859,0.994,0.96,0.994,0.902,0.66,0.974,0.952,0.548,0.779,0.737,0.978,0.961,0.93
A_marginata,0.704,0.693,0.729,0.957,0.667,0.978,1.0,0.698,0.667,0.929,0.585,0.9,0.728,0.771,0.651,0.905,0.68,0.743,0.965,0.99,0.98,0.806,0.507,0.914,0.875,0.379,0.646,0.595,0.925,0.897,0.977
E_cherrevensis,0.997,0.998,0.997,0.845,0.998,0.824,0.698,1.0,0.997,0.911,0.981,0.921,0.997,0.982,0.994,0.918,0.997,0.996,0.858,0.635,0.805,0.985,0.968,0.921,0.952,0.924,0.995,0.989,0.906,0.937,0.556
F_indica,0.997,0.999,0.996,0.822,0.999,0.798,0.667,0.997,1.0,0.889,0.985,0.905,0.996,0.976,0.996,0.897,0.998,0.994,0.835,0.604,0.781,0.977,0.978,0.907,0.935,0.941,0.998,0.994,0.883,0.921,0.519
H_perforata,0.91,0.905,0.924,0.984,0.889,0.983,0.929,0.911,0.889,1.0,0.833,0.987,0.922,0.942,0.878,0.991,0.896,0.931,0.99,0.894,0.973,0.963,0.781,0.992,0.989,0.685,0.876,0.843,0.996,0.993,0.848
R_dumetorum,0.981,0.978,0.975,0.745,0.988,0.724,0.585,0.981,0.985,0.833,1.0,0.848,0.973,0.961,0.994,0.85,0.989,0.969,0.773,0.508,0.716,0.948,0.991,0.851,0.884,0.965,0.99,0.994,0.83,0.881,0.419
C_filiformis,0.927,0.923,0.938,0.981,0.904,0.962,0.9,0.921,0.905,0.987,0.848,1.0,0.938,0.947,0.894,0.99,0.911,0.945,0.973,0.866,0.95,0.969,0.809,0.988,0.981,0.72,0.896,0.867,0.973,0.985,0.81
P_Kesiya,0.999,0.998,1.0,0.868,0.996,0.847,0.728,0.997,0.996,0.922,0.973,0.938,1.0,0.985,0.991,0.928,0.996,1.0,0.878,0.667,0.829,0.991,0.959,0.938,0.959,0.911,0.993,0.984,0.915,0.949,0.595
A_pulchellus,0.981,0.98,0.988,0.884,0.977,0.871,0.771,0.982,0.976,0.942,0.961,0.947,0.985,1.0,0.981,0.945,0.984,0.987,0.902,0.711,0.869,0.993,0.932,0.952,0.96,0.87,0.977,0.959,0.934,0.971,0.634
T_loureiri,0.994,0.993,0.992,0.803,0.997,0.781,0.651,0.994,0.996,0.878,0.994,0.894,0.991,0.981,1.0,0.889,0.999,0.989,0.822,0.582,0.771,0.974,0.984,0.895,0.921,0.947,0.999,0.995,0.871,0.917,0.495
R_succedanea,0.92,0.911,0.93,0.976,0.898,0.965,0.905,0.918,0.897,0.991,0.85,0.99,0.928,0.945,0.889,1.0,0.906,0.936,0.978,0.865,0.954,0.965,0.8,0.981,0.983,0.706,0.885,0.858,0.987,0.988,0.817
