,chi2,Z,P,P.adjusted,comparitor_1,comparitor_2
1,91.63253175,-0.272276176,0.39,0.39,A_marginata,A_pulchellus
2,91.63253175,-0.461356854,0.32,0.32,A_marginata,A_vanprukii
3,91.63253175,-0.189080678,0.43,0.43,A_pulchellus,A_vanprukii
4,91.63253175,0.136138088,0.45,0.45,A_marginata,B_anceps
5,91.63253175,0.408414265,0.34,0.34,A_pulchellus,B_anceps
6,91.63253175,0.597494943,0.28,0.28,A_vanprukii,B_anceps
7,91.63253175,-2.99503794,0.00,0.00,A_marginata,B_insulana
8,91.63253175,-2.722761764,0.00,0.00,A_pulchellus,B_insulana
9,91.63253175,-2.533681086,0.01,0.01,A_vanprukii,B_insulana
10,91.63253175,-3.131176028,0.00,0.00,B_anceps,B_insulana
11,91.63253175,-1.610967377,0.05,0.05,A_marginata,C_filiformis
12,91.63253175,-1.3386912,0.09,0.09,A_pulchellus,C_filiformis
13,91.63253175,-1.149610522,0.13,0.13,A_vanprukii,C_filiformis
14,91.63253175,-1.747105465,0.04,0.04,B_anceps,C_filiformis
15,91.63253175,1.384070563,0.08,0.08,B_insulana,C_filiformis
16,91.63253175,-2.858899852,0.00,0.00,A_marginata,C_formosum
17,91.63253175,-2.586623676,0.00,0.00,A_pulchellus,C_formosum
18,91.63253175,-2.397542997,0.01,0.01,A_vanprukii,C_formosum
19,91.63253175,-2.99503794,0.00,0.00,B_anceps,C_formosum
20,91.63253175,0.136138088,0.45,0.45,B_insulana,C_formosum
21,91.63253175,-1.247932475,0.11,0.11,C_filiformis,C_formosum
22,91.63253175,0.272276176,0.39,0.39,A_marginata,C_oblongifolius
23,91.63253175,0.544552353,0.29,0.29,A_pulchellus,C_oblongifolius
24,91.63253175,0.733633031,0.23,0.23,A_vanprukii,C_oblongifolius
25,91.63253175,0.136138088,0.45,0.45,B_anceps,C_oblongifolius
26,91.63253175,3.267314116,0.00,0.00,B_insulana,C_oblongifolius
27,91.63253175,1.883243553,0.03,0.03,C_filiformis,C_oblongifolius
28,91.63253175,3.131176028,0.00,0.00,C_formosum,C_oblongifolius
29,91.63253175,-0.136138088,0.45,0.45,A_marginata,C_tomentosa
30,91.63253175,0.136138088,0.45,0.45,A_pulchellus,C_tomentosa
31,91.63253175,0.325218766,0.37,0.37,A_vanprukii,C_tomentosa
32,91.63253175,-0.272276176,0.39,0.39,B_anceps,C_tomentosa
33,91.63253175,2.858899852,0.00,0.00,B_insulana,C_tomentosa
34,91.63253175,1.474829289,0.07,0.07,C_filiformis,C_tomentosa
35,91.63253175,2.722761764,0.00,0.00,C_formosum,C_tomentosa
36,91.63253175,-0.408414265,0.34,0.34,C_oblongifolius,C_tomentosa
37,91.63253175,-2.450485587,0.01,0.01,A_marginata,D_castanea_leaf
38,91.63253175,-2.178209411,0.01,0.01,A_pulchellus,D_castanea_leaf
39,91.63253175,-1.989128733,0.02,0.02,A_vanprukii,D_castanea_leaf
40,91.63253175,-2.586623676,0.00,0.00,B_anceps,D_castanea_leaf
41,91.63253175,0.544552353,0.29,0.29,B_insulana,D_castanea_leaf
42,91.63253175,-0.83951821,0.20,0.20,C_filiformis,D_castanea_leaf
43,91.63253175,0.408414265,0.34,0.34,C_formosum,D_castanea_leaf
44,91.63253175,-2.722761764,0.00,0.00,C_oblongifolius,D_castanea_leaf
45,91.63253175,-2.314347499,0.01,0.01,C_tomentosa,D_castanea_leaf
46,91.63253175,-1.905933235,0.03,0.03,A_marginata,D_castanea_twig
47,91.63253175,-1.633657058,0.05,0.05,A_pulchellus,D_castanea_twig
48,91.63253175,-1.44457638,0.07,0.07,A_vanprukii,D_castanea_twig
49,91.63253175,-2.042071323,0.02,0.02,B_anceps,D_castanea_twig
50,91.63253175,1.089104705,0.14,0.14,B_insulana,D_castanea_twig
51,91.63253175,-0.294965858,0.38,0.38,C_filiformis,D_castanea_twig
52,91.63253175,0.952966617,0.17,0.17,C_formosum,D_castanea_twig
53,91.63253175,-2.178209411,0.01,0.01,C_oblongifolius,D_castanea_twig
54,91.63253175,-1.769795146,0.04,0.04,C_tomentosa,D_castanea_twig
55,91.63253175,0.544552353,0.29,0.29,D_castanea_leaf,D_castanea_twig
56,91.63253175,-3.131176028,0.00,0.00,A_marginata,D_winitii
57,91.63253175,-2.858899852,0.00,0.00,A_pulchellus,D_winitii
58,91.63253175,-2.669819174,0.00,0.00,A_vanprukii,D_winitii
59,91.63253175,-3.267314116,0.00,0.00,B_anceps,D_winitii
60,91.63253175,-0.136138088,0.45,0.45,B_insulana,D_winitii
61,91.63253175,-1.520208651,0.06,0.06,C_filiformis,D_winitii
62,91.63253175,-0.272276176,0.39,0.39,C_formosum,D_winitii
63,91.63253175,-3.403452205,0.00,0.00,C_oblongifolius,D_winitii
64,91.63253175,-2.99503794,0.00,0.00,C_tomentosa,D_winitii
65,91.63253175,-0.680690441,0.25,0.25,D_castanea_leaf,D_winitii
66,91.63253175,-1.225242794,0.11,0.11,D_castanea_twig,D_winitii
67,91.63253175,-2.178209411,0.01,0.01,A_marginata,E_cherrevensis
68,91.63253175,-1.905933235,0.03,0.03,A_pulchellus,E_cherrevensis
69,91.63253175,-1.716852557,0.04,0.04,A_vanprukii,E_cherrevensis
70,91.63253175,-2.314347499,0.01,0.01,B_anceps,E_cherrevensis
