,chi2,T,P,P_adjusted,comparitor_1,comparitor_2
1,91.63253175,-3.536678476,0.000,0.000,A_marginata,A_pulchellus
2,91.63253175,-5.992705196,0.000,0.000,A_marginata,A_vanprukii
3,91.63253175,-2.45602672,0.008,0.008,A_pulchellus,A_vanprukii
4,91.63253175,1.768339238,0.041,0.041,A_marginata,B_anceps
5,91.63253175,5.305017715,0.000,0.000,A_pulchellus,B_anceps
6,91.63253175,7.761044434,0.000,0.000,A_vanprukii,B_anceps
7,91.63253175,-38.90346324,0.000,0.000,A_marginata,B_insulana
8,91.63253175,-35.36678476,0.000,0.000,A_pulchellus,B_insulana
9,91.63253175,-32.91075804,0.000,0.000,A_vanprukii,B_insulana
10,91.63253175,-40.67180248,0.000,0.000,B_anceps,B_insulana
11,91.63253175,-20.92534765,0.000,0.000,A_marginata,C_filiformis
12,91.63253175,-17.38866918,0.000,0.000,A_pulchellus,C_filiformis
13,91.63253175,-14.93264246,0.000,0.000,A_vanprukii,C_filiformis
14,91.63253175,-22.69368689,0.000,0.000,B_anceps,C_filiformis
15,91.63253175,17.97811559,0.000,0.000,B_insulana,C_filiformis
16,91.63253175,-37.135124,0.000,0.000,A_marginata,C_formosum
17,91.63253175,-33.59844553,0.000,0.000,A_pulchellus,C_formosum
18,91.63253175,-31.14241881,0.000,0.000,A_vanprukii,C_formosum
19,91.63253175,-38.90346324,0.000,0.000,B_anceps,C_formosum
20,91.63253175,1.768339238,0.041,0.041,B_insulana,C_formosum
21,91.63253175,-16.20977635,0.000,0.000,C_filiformis,C_formosum
22,91.63253175,3.536678476,0.000,0.000,A_marginata,C_oblongifolius
23,91.63253175,7.073356953,0.000,0.000,A_pulchellus,C_oblongifolius
24,91.63253175,9.529383672,0.000,0.000,A_vanprukii,C_oblongifolius
25,91.63253175,1.768339238,0.041,0.041,B_anceps,C_oblongifolius
26,91.63253175,42.44014172,0.000,0.000,B_insulana,C_oblongifolius
27,91.63253175,24.46202613,0.000,0.000,C_filiformis,C_oblongifolius
28,91.63253175,40.67180248,0.000,0.000,C_formosum,C_oblongifolius
29,91.63253175,-1.768339238,0.041,0.041,A_marginata,C_tomentosa
30,91.63253175,1.768339238,0.041,0.041,A_pulchellus,C_tomentosa
31,91.63253175,4.224365958,0.000,0.000,A_vanprukii,C_tomentosa
32,91.63253175,-3.536678476,0.000,0.000,B_anceps,C_tomentosa
33,91.63253175,37.135124,0.000,0.000,B_insulana,C_tomentosa
34,91.63253175,19.15700841,0.000,0.000,C_filiformis,C_tomentosa
35,91.63253175,35.36678476,0.000,0.000,C_formosum,C_tomentosa
36,91.63253175,-5.305017715,0.000,0.000,C_oblongifolius,C_tomentosa
37,91.63253175,-31.83010629,0.000,0.000,A_marginata,D_castanea_leaf
38,91.63253175,-28.29342781,0.000,0.000,A_pulchellus,D_castanea_leaf
39,91.63253175,-25.83740109,0.000,0.000,A_vanprukii,D_castanea_leaf
40,91.63253175,-33.59844553,0.000,0.000,B_anceps,D_castanea_leaf
41,91.63253175,7.073356953,0.000,0.000,B_insulana,D_castanea_leaf
42,91.63253175,-10.90475864,0.000,0.000,C_filiformis,D_castanea_leaf
43,91.63253175,5.305017715,0.000,0.000,C_formosum,D_castanea_leaf
44,91.63253175,-35.36678476,0.000,0.000,C_oblongifolius,D_castanea_leaf
45,91.63253175,-30.06176705,0.000,0.000,C_tomentosa,D_castanea_leaf
46,91.63253175,-24.75674933,0.000,0.000,A_marginata,D_castanea_twig
47,91.63253175,-21.22007086,0.000,0.000,A_pulchellus,D_castanea_twig
48,91.63253175,-18.76404414,0.000,0.000,A_vanprukii,D_castanea_twig
49,91.63253175,-26.52508857,0.000,0.000,B_anceps,D_castanea_twig
50,91.63253175,14.14671391,0.000,0.000,B_insulana,D_castanea_twig
51,91.63253175,-3.831401683,0.000,0.000,C_filiformis,D_castanea_twig
52,91.63253175,12.37837467,0.000,0.000,C_formosum,D_castanea_twig
53,91.63253175,-28.29342781,0.000,0.000,C_oblongifolius,D_castanea_twig
54,91.63253175,-22.9884101,0.000,0.000,C_tomentosa,D_castanea_twig
55,91.63253175,7.073356953,0.000,0.000,D_castanea_leaf,D_castanea_twig
56,91.63253175,-40.67180248,0.000,0.000,A_marginata,D_winitii
57,91.63253175,-37.135124,0.000,0.000,A_pulchellus,D_winitii
58,91.63253175,-34.67909728,0.000,0.000,A_vanprukii,D_winitii
59,91.63253175,-42.44014172,0.000,0.000,B_anceps,D_winitii
60,91.63253175,-1.768339238,0.041,0.041,B_insulana,D_winitii
61,91.63253175,-19.74645483,0.000,0.000,C_filiformis,D_winitii
62,91.63253175,-3.536678476,0.000,0.000,C_formosum,D_winitii
63,91.63253175,-44.20848095,0.000,0.000,C_oblongifolius,D_winitii
