,chi2,T,P,P.adjusted,comparitor_1,comparitor_2
1,91.23420278,15.2435462,0.000,0.000,A_marginata,A_pulchellus
2,91.23420278,10.34383492,0.000,0.000,A_marginata,A_vanprukii
3,91.23420278,-4.899711277,0.000,0.000,A_pulchellus,A_vanprukii
4,91.23420278,-4.151144277,0.000,0.000,A_marginata,B_anceps
5,91.23420278,-19.39469047,0.000,0.000,A_pulchellus,B_anceps
6,91.23420278,-14.4949792,0.000,0.000,A_vanprukii,B_anceps
7,91.23420278,5.716329823,0.000,0.000,A_marginata,B_insulana
8,91.23420278,-9.527216372,0.000,0.000,A_pulchellus,B_insulana
9,91.23420278,-4.627505095,0.000,0.000,A_vanprukii,B_insulana
10,91.23420278,9.8674741,0.000,0.000,B_anceps,B_insulana
11,91.23420278,1.769340183,0.041,0.041,A_marginata,C_filiformis
12,91.23420278,-13.47420601,0.000,0.000,A_pulchellus,C_filiformis
13,91.23420278,-8.574494735,0.000,0.000,A_vanprukii,C_filiformis
14,91.23420278,5.92048446,0.000,0.000,B_anceps,C_filiformis
15,91.23420278,-3.94698964,0.000,0.000,B_insulana,C_filiformis
16,91.23420278,-11.77291737,0.000,0.000,A_marginata,C_formosum
17,91.23420278,-27.01646357,0.000,0.000,A_pulchellus,C_formosum
18,91.23420278,-22.11675229,0.000,0.000,A_vanprukii,C_formosum
19,91.23420278,-7.621773098,0.000,0.000,B_anceps,C_formosum
20,91.23420278,-17.4892472,0.000,0.000,B_insulana,C_formosum
21,91.23420278,-13.54225756,0.000,0.000,C_filiformis,C_formosum
22,91.23420278,-17.42119565,0.000,0.000,A_marginata,C_oblongifolius
23,91.23420278,-32.66474185,0.000,0.000,A_pulchellus,C_oblongifolius
24,91.23420278,-27.76503057,0.000,0.000,A_vanprukii,C_oblongifolius
25,91.23420278,-13.27005138,0.000,0.000,B_anceps,C_oblongifolius
26,91.23420278,-23.13752548,0.000,0.000,B_insulana,C_oblongifolius
27,91.23420278,-19.19053584,0.000,0.000,C_filiformis,C_oblongifolius
28,91.23420278,-5.648278278,0.000,0.000,C_formosum,C_oblongifolius
29,91.23420278,3.266474185,0.001,0.001,A_marginata,C_tomentosa
30,91.23420278,-11.97707201,0.000,0.000,A_pulchellus,C_tomentosa
31,91.23420278,-7.077360734,0.000,0.000,A_vanprukii,C_tomentosa
32,91.23420278,7.417618461,0.000,0.000,B_anceps,C_tomentosa
33,91.23420278,-2.449855639,0.009,0.009,B_insulana,C_tomentosa
34,91.23420278,1.497134001,0.070,0.070,C_filiformis,C_tomentosa
35,91.23420278,15.03939156,0.000,0.000,C_formosum,C_tomentosa
36,91.23420278,20.68766984,0.000,0.000,C_oblongifolius,C_tomentosa
37,91.23420278,12.8617421,0.000,0.000,A_marginata,D_castanea_leaf
38,91.23420278,-2.381804093,0.010,0.010,A_pulchellus,D_castanea_leaf
39,91.23420278,2.517907184,0.007,0.007,A_vanprukii,D_castanea_leaf
40,91.23420278,17.01288638,0.000,0.000,B_anceps,D_castanea_leaf
41,91.23420278,7.145412279,0.000,0.000,B_insulana,D_castanea_leaf
42,91.23420278,11.09240192,0.000,0.000,C_filiformis,D_castanea_leaf
43,91.23420278,24.63465948,0.000,0.000,C_formosum,D_castanea_leaf
44,91.23420278,30.28293776,0.000,0.000,C_oblongifolius,D_castanea_leaf
45,91.23420278,9.595267918,0.000,0.000,C_tomentosa,D_castanea_leaf
46,91.23420278,11.56876274,0.000,0.000,A_marginata,D_castanea_twig
47,91.23420278,-3.674783458,0.000,0.000,A_pulchellus,D_castanea_twig
48,91.23420278,1.224927819,0.113,0.113,A_vanprukii,D_castanea_twig
49,91.23420278,15.71990701,0.000,0.000,B_anceps,D_castanea_twig
50,91.23420278,5.852432915,0.000,0.000,B_insulana,D_castanea_twig
51,91.23420278,9.799422555,0.000,0.000,C_filiformis,D_castanea_twig
52,91.23420278,23.34168011,0.000,0.000,C_formosum,D_castanea_twig
53,91.23420278,28.98995839,0.000,0.000,C_oblongifolius,D_castanea_twig
54,91.23420278,8.302288553,0.000,0.000,C_tomentosa,D_castanea_twig
55,91.23420278,-1.292979365,0.100,0.100,D_castanea_leaf,D_castanea_twig
56,91.23420278,-7.213463825,0.000,0.000,A_marginata,D_winitii
57,91.23420278,-22.45701002,0.000,0.000,A_pulchellus,D_winitii
58,91.23420278,-17.55729874,0.000,0.000,A_vanprukii,D_winitii
59,91.23420278,-3.062319548,0.002,0.002,B_anceps,D_winitii
60,91.23420278,-12.92979365,0.000,0.000,B_insulana,D_winitii
61,91.23420278,-8.982804008,0.000,0.000,C_filiformis,D_winitii
62,91.23420278,4.55945355,0.000,0.000,C_formosum,D_winitii
63,91.23420278,10.20773183,0.000,0.000,C_oblongifolius,D_winitii
64,91.23420278,-10.47993801,0.000,0.000,C_tomentosa,D_winitii
65,91.23420278,-20.07520593,0.000,0.000,D_castanea_leaf,D_winitii
66,91.23420278,-18.78222656,0.000,0.000,D_castanea_twig,D_winitii
67,91.23420278,-7.553721552,0.000,0.000,A_marginata,E_cherrevensis
68,91.23420278,-22.79726775,0.000,0.000,A_pulchellus,E_cherrevensis
69,91.23420278,-17.89755647,0.000,0.000,A_vanprukii,E_cherrevensis
70,91.23420278,-3.402577276,0.001,0.001,B_anceps,E_cherrevensis
71,91.23420278,-13.27005138,0.000,0.000,B_insulana,E_cherrevensis
72,91.23420278,-9.323061736,0.000,0.000,C_filiformis,E_cherrevensis
73,91.23420278,4.219195822,0.000,0.000,C_formosum,E_cherrevensis
