,chi2,Z,P,P.adjusted,comparitor_1,comparitor_2
1,91.23420278,1.694131275,0.05,0.05,A_marginata,A_pulchellus
2,91.23420278,1.149589079,0.13,0.13,A_marginata,A_vanprukii
3,91.23420278,-0.544542196,0.29,0.29,A_pulchellus,A_vanprukii
4,91.23420278,-0.461348249,0.32,0.32,A_marginata,B_anceps
5,91.23420278,-2.155479524,0.02,0.02,A_pulchellus,B_anceps
6,91.23420278,-1.610937328,0.05,0.05,A_vanprukii,B_anceps
7,91.23420278,0.635299228,0.26,0.26,A_marginata,B_insulana
8,91.23420278,-1.058832047,0.14,0.14,A_pulchellus,B_insulana
9,91.23420278,-0.514289851,0.30,0.30,A_vanprukii,B_insulana
10,91.23420278,1.096647477,0.14,0.14,B_anceps,B_insulana
11,91.23420278,0.196640237,0.42,0.42,A_marginata,C_filiformis
12,91.23420278,-1.497491038,0.07,0.07,A_pulchellus,C_filiformis
13,91.23420278,-0.952948842,0.17,0.17,A_vanprukii,C_filiformis
14,91.23420278,0.657988486,0.26,0.26,B_anceps,C_filiformis
15,91.23420278,-0.438658991,0.33,0.33,B_insulana,C_filiformis
16,91.23420278,-1.308413886,0.10,0.10,A_marginata,C_formosum
17,91.23420278,-3.002545161,0.00,0.00,A_pulchellus,C_formosum
18,91.23420278,-2.458002966,0.01,0.01,A_vanprukii,C_formosum
19,91.23420278,-0.847065637,0.20,0.20,B_anceps,C_formosum
20,91.23420278,-1.943713115,0.03,0.03,B_insulana,C_formosum
21,91.23420278,-1.505054124,0.07,0.07,C_filiformis,C_formosum
22,91.23420278,-1.936150029,0.03,0.03,A_marginata,C_oblongifolius
23,91.23420278,-3.630281303,0.00,0.00,A_pulchellus,C_oblongifolius
24,91.23420278,-3.085739108,0.00,0.00,A_vanprukii,C_oblongifolius
25,91.23420278,-1.47480178,0.07,0.07,B_anceps,C_oblongifolius
26,91.23420278,-2.571449257,0.01,0.01,B_insulana,C_oblongifolius
27,91.23420278,-2.132790266,0.02,0.02,C_filiformis,C_oblongifolius
28,91.23420278,-0.627736142,0.27,0.27,C_formosum,C_oblongifolius
29,91.23420278,0.36302813,0.36,0.36,A_marginata,C_tomentosa
30,91.23420278,-1.331103145,0.09,0.09,A_pulchellus,C_tomentosa
31,91.23420278,-0.786560949,0.22,0.22,A_vanprukii,C_tomentosa
32,91.23420278,0.824376379,0.20,0.20,B_anceps,C_tomentosa
33,91.23420278,-0.272271098,0.39,0.39,B_insulana,C_tomentosa
34,91.23420278,0.166387893,0.43,0.43,C_filiformis,C_tomentosa
35,91.23420278,1.671442017,0.05,0.05,C_formosum,C_tomentosa
36,91.23420278,2.299178159,0.01,0.01,C_oblongifolius,C_tomentosa
37,91.23420278,1.429423263,0.08,0.08,A_marginata,D_castanea_leaf
38,91.23420278,-0.264708012,0.40,0.40,A_pulchellus,D_castanea_leaf
39,91.23420278,0.279834184,0.39,0.39,A_vanprukii,D_castanea_leaf
40,91.23420278,1.890771512,0.03,0.03,B_anceps,D_castanea_leaf
41,91.23420278,0.794124035,0.21,0.21,B_insulana,D_castanea_leaf
42,91.23420278,1.232783026,0.11,0.11,C_filiformis,D_castanea_leaf
43,91.23420278,2.73783715,0.00,0.00,C_formosum,D_castanea_leaf
44,91.23420278,3.365573292,0.00,0.00,C_oblongifolius,D_castanea_leaf
45,91.23420278,1.066395133,0.14,0.14,C_tomentosa,D_castanea_leaf
46,91.23420278,1.285724628,0.10,0.10,A_marginata,D_castanea_twig
47,91.23420278,-0.408406647,0.34,0.34,A_pulchellus,D_castanea_twig
48,91.23420278,0.136135549,0.45,0.45,A_vanprukii,D_castanea_twig
49,91.23420278,1.747072877,0.04,0.04,B_anceps,D_castanea_twig
50,91.23420278,0.6504254,0.26,0.26,B_insulana,D_castanea_twig
51,91.23420278,1.089084391,0.14,0.14,C_filiformis,D_castanea_twig
52,91.23420278,2.594138515,0.00,0.00,C_formosum,D_castanea_twig
53,91.23420278,3.221874657,0.00,0.00,C_oblongifolius,D_castanea_twig
54,91.23420278,0.922696498,0.18,0.18,C_tomentosa,D_castanea_twig
55,91.23420278,-0.143698635,0.44,0.44,D_castanea_leaf,D_castanea_twig
56,91.23420278,-0.801687121,0.21,0.21,A_marginata,D_winitii
57,91.23420278,-2.495818396,0.01,0.01,A_pulchellus,D_winitii
58,91.23420278,-1.951276201,0.03,0.03,A_vanprukii,D_winitii
59,91.23420278,-0.340338872,0.37,0.37,B_anceps,D_winitii
60,91.23420278,-1.436986349,0.08,0.08,B_insulana,D_winitii
61,91.23420278,-0.998327358,0.16,0.16,C_filiformis,D_winitii
62,91.23420278,0.506726765,0.31,0.31,C_formosum,D_winitii
63,91.23420278,1.134462907,0.13,0.13,C_oblongifolius,D_winitii
64,91.23420278,-1.164715252,0.12,0.12,C_tomentosa,D_winitii
65,91.23420278,-2.231110384,0.01,0.01,D_castanea_leaf,D_winitii
66,91.23420278,-2.087411749,0.02,0.02,D_castanea_twig,D_winitii
67,91.23420278,-0.839502551,0.20,0.20,A_marginata,E_cherrevensis
68,91.23420278,-2.533633826,0.01,0.01,A_pulchellus,E_cherrevensis
69,91.23420278,-1.989091631,0.02,0.02,A_vanprukii,E_cherrevensis
70,91.23420278,-0.378154302,0.35,0.35,B_anceps,E_cherrevensis
71,91.23420278,-1.47480178,0.07,0.07,B_insulana,E_cherrevensis
72,91.23420278,-1.036142789,0.15,0.15,C_filiformis,E_cherrevensis
73,91.23420278,0.468911335,0.32,0.32,C_formosum,E_cherrevensis
74,91.23420278,1.096647477,0.14,0.14,C_oblongifolius,E_cherrevensis
75,91.23420278,-1.202530682,0.11,0.11,C_tomentosa,E_cherrevensis
76,91.23420278,-2.268925815,0.01,0.01,D_castanea_leaf,E_cherrevensis
77,91.23420278,-2.12522718,0.02,0.02,D_castanea_twig,E_cherrevensis
78,91.23420278,-0.03781543,0.48,0.48,D_winitii,E_cherrevensis
79,91.23420278,-0.680677744,0.25,0.25,A_marginata,E_cuneatum
80,91.23420278,-2.374809019,0.01,0.01,A_pulchellus,E_cuneatum
81,91.23420278,-1.830266824,0.03,0.03,A_vanprukii,E_cuneatum
82,91.23420278,-0.219329495,0.41,0.41,B_anceps,E_cuneatum
83,91.23420278,-1.315976972,0.09,0.09,B_insulana,E_cuneatum
84,91.23420278,-0.877317982,0.19,0.19,C_filiformis,E_cuneatum
85,91.23420278,0.627736142,0.27,0.27,C_formosum,E_cuneatum
86,91.23420278,1.255472284,0.10,0.10,C_oblongifolius,E_cuneatum
87,91.23420278,-1.043705875,0.15,0.15,C_tomentosa,E_cuneatum
88,91.23420278,-2.110101008,0.02,0.02,D_castanea_leaf,E_cuneatum
89,91.23420278,-1.966402373,0.02,0.02,D_castanea_twig,E_cuneatum
90,91.23420278,0.121009377,0.45,0.45,D_winitii,E_cuneatum
91,91.23420278,0.158824807,0.44,0.44,E_cherrevensis,E_cuneatum
92,91.23420278,0.605046884,0.27,0.27,A_marginata,E_succirubrum
93,91.23420278,-1.089084391,0.14,0.14,A_pulchellus,E_succirubrum
94,91.23420278,-0.544542196,0.29,0.29,A_vanprukii,E_succirubrum
95,91.23420278,1.066395133,0.14,0.14,B_anceps,E_succirubrum
96,91.23420278,-0.030252344,0.49,0.49,B_insulana,E_succirubrum
97,91.23420278,0.408406647,0.34,0.34,C_filiformis,E_succirubrum
98,91.23420278,1.91346077,0.03,0.03,C_formosum,E_succirubrum
99,91.23420278,2.541196912,0.01,0.01,C_oblongifolius,E_succirubrum
100,91.23420278,0.242018754,0.40,0.40,C_tomentosa,E_succirubrum
101,91.23420278,-0.824376379,0.20,0.20,D_castanea_leaf,E_succirubrum
102,91.23420278,-0.680677744,0.25,0.25,D_castanea_twig,E_succirubrum
103,91.23420278,1.406734005,0.08,0.08,D_winitii,E_succirubrum
104,91.23420278,1.444549435,0.07,0.07,E_cherrevensis,E_succirubrum
105,91.23420278,1.285724628,0.10,0.10,E_cuneatum,E_succirubrum
106,91.23420278,-0.431095905,0.33,0.33,A_marginata,F_indica
107,91.23420278,-2.12522718,0.02,0.02,A_pulchellus,F_indica
108,91.23420278,-1.580684984,0.06,0.06,A_vanprukii,F_indica
109,91.23420278,0.030252344,0.49,0.49,B_anceps,F_indica
110,91.23420278,-1.066395133,0.14,0.14,B_insulana,F_indica
111,91.23420278,-0.627736142,0.27,0.27,C_filiformis,F_indica
112,91.23420278,0.877317982,0.19,0.19,C_formosum,F_indica
113,91.23420278,1.505054124,0.07,0.07,C_oblongifolius,F_indica
114,91.23420278,-0.794124035,0.21,0.21,C_tomentosa,F_indica
115,91.23420278,-1.860519168,0.03,0.03,D_castanea_leaf,F_indica
116,91.23420278,-1.716820533,0.04,0.04,D_castanea_twig,F_indica
117,91.23420278,0.370591216,0.36,0.36,D_winitii,F_indica
118,91.23420278,0.408406647,0.34,0.34,E_cherrevensis,F_indica
119,91.23420278,0.24958184,0.40,0.40,E_cuneatum,F_indica
120,91.23420278,-1.036142789,0.15,0.15,E_succirubrum,F_indica
121,91.23420278,-1.542869554,0.06,0.06,A_marginata,G_cowa
122,91.23420278,-3.237000829,0.00,0.00,A_pulchellus,G_cowa
123,91.23420278,-2.692458633,0.00,0.00,A_vanprukii,G_cowa
124,91.23420278,-1.081521305,0.14,0.14,B_anceps,G_cowa
125,91.23420278,-2.178168782,0.01,0.01,B_insulana,G_cowa
126,91.23420278,-1.739509791,0.04,0.04,C_filiformis,G_cowa
127,91.23420278,-0.234455668,0.41,0.41,C_formosum,G_cowa
128,91.23420278,0.393280475,0.35,0.35,C_oblongifolius,G_cowa
129,91.23420278,-1.905897684,0.03,0.03,C_tomentosa,G_cowa
130,91.23420278,-2.972292817,0.00,0.00,D_castanea_leaf,G_cowa
131,91.23420278,-2.828594182,0.00,0.00,D_castanea_twig,G_cowa
132,91.23420278,-0.741182433,0.23,0.23,D_winitii,G_cowa
133,91.23420278,-0.703367003,0.24,0.24,E_cherrevensis,G_cowa
134,91.23420278,-0.86219181,0.19,0.19,E_cuneatum,G_cowa
135,91.23420278,-2.147916438,0.02,0.02,E_succirubrum,G_cowa
136,91.23420278,-1.111773649,0.13,0.13,F_indica,G_cowa
