,chi2,Z,P,P.adjusted,comparistor_1,comparistor_2
1,36.65641026,-0.68030913,0.248154372,0.248154372,B_insulana,C_formosum
2,36.65641026,-0.107417231,0.457228993,0.457228993,B_insulana,D_castanea_leaf
3,36.65641026,0.572891899,0.283358945,0.283358945,C_formosum,D_castanea_leaf
4,36.65641026,2.255761853,0.012042775,0.012042775,B_insulana,D_winitii
5,36.65641026,2.936070984,0.001661991,0.001661991,C_formosum,D_winitii
6,36.65641026,2.363179084,0.009059456,0.009059456,D_castanea_leaf,D_winitii
7,36.65641026,-1.181589542,0.118684303,0.118684303,B_insulana,E_cherrevensis
8,36.65641026,-0.501280412,0.308086895,0.308086895,C_formosum,E_cherrevensis
9,36.65641026,-1.074172311,0.14137273,0.14137273,D_castanea_leaf,E_cherrevensis
10,36.65641026,-3.437351395,0.000293716,0.000293716,D_winitii,E_cherrevensis
11,36.65641026,-0.96675508,0.166833243,0.166833243,B_insulana,E_cuneatum
12,36.65641026,-0.28644595,0.387268293,0.387268293,C_formosum,E_cuneatum
13,36.65641026,-0.859337849,0.195077074,0.195077074,D_castanea_leaf,E_cuneatum
14,36.65641026,-3.222516933,0.000635348,0.000635348,D_winitii,E_cuneatum
15,36.65641026,0.214834462,0.414948192,0.414948192,E_cherrevensis,E_cuneatum
16,36.65641026,0.107417231,0.457228993,0.457228993,B_insulana,F_indica
17,36.65641026,0.787726361,0.215428391,0.215428391,C_formosum,F_indica
18,36.65641026,0.214834462,0.414948192,0.414948192,D_castanea_leaf,F_indica
19,36.65641026,-2.148344622,0.015843194,0.015843194,D_winitii,F_indica
20,36.65641026,1.289006773,0.098697866,0.098697866,E_cherrevensis,F_indica
21,36.65641026,1.074172311,0.14137273,0.14137273,E_cuneatum,F_indica
22,36.65641026,1.93351016,0.026586691,0.026586691,B_insulana,G_cowa
23,36.65641026,2.61381929,0.004476819,0.004476819,C_formosum,G_cowa
24,36.65641026,2.040927391,0.020629022,0.020629022,D_castanea_leaf,G_cowa
25,36.65641026,-0.322251693,0.373631013,0.373631013,D_winitii,G_cowa
26,36.65641026,3.115099702,0.000919414,0.000919414,E_cherrevensis,G_cowa
27,36.65641026,2.90026524,0.001864235,0.001864235,E_cuneatum,G_cowa
28,36.65641026,1.826092929,0.033918133,0.033918133,F_indica,G_cowa
29,36.65641026,1.038366567,0.149549714,0.149549714,B_insulana,P_debilis
30,36.65641026,1.718675698,0.04283672,0.04283672,C_formosum,P_debilis
31,36.65641026,1.145783798,0.12594231,0.12594231,D_castanea_leaf,P_debilis
32,36.65641026,-1.217395286,0.111726928,0.111726928,D_winitii,P_debilis
33,36.65641026,2.21995611,0.013210874,0.013210874,E_cherrevensis,P_debilis
34,36.65641026,2.005121647,0.022475022,0.022475022,E_cuneatum,P_debilis
35,36.65641026,0.930949336,0.175939886,0.175939886,F_indica,P_debilis
36,36.65641026,-0.895143593,0.185355167,0.185355167,G_cowa,P_debilis
37,36.65641026,1.539646979,0.061823214,0.061823214,B_insulana,P_evecta_leaf
38,36.65641026,2.21995611,0.013210874,0.013210874,C_formosum,P_evecta_leaf
39,36.65641026,1.64706421,0.049772424,0.049772424,D_castanea_leaf,P_evecta_leaf
40,36.65641026,-0.716114874,0.23696021,0.23696021,D_winitii,P_evecta_leaf
41,36.65641026,2.721236521,0.00325191,0.00325191,E_cherrevensis,P_evecta_leaf
42,36.65641026,2.506402059,0.006098342,0.006098342,E_cuneatum,P_evecta_leaf
43,36.65641026,1.432229748,0.07603904,0.07603904,F_indica,P_evecta_leaf
44,36.65641026,-0.393863181,0.346841028,0.346841028,G_cowa,P_evecta_leaf
45,36.65641026,0.501280412,0.308086895,0.308086895,P_debilis,P_evecta_leaf
46,36.65641026,2.578013547,0.004968505,0.004968505,B_insulana,P_Kesiya
47,36.65641026,3.258322677,0.000560364,0.000560364,C_formosum,P_Kesiya
48,36.65641026,2.685430778,0.003621819,0.003621819,D_castanea_leaf,P_Kesiya
49,36.65641026,0.322251693,0.373631013,0.373631013,D_winitii,P_Kesiya
50,36.65641026,3.759603089,8.51E-05,8.51E-05,E_cherrevensis,P_Kesiya
51,36.65641026,3.544768626,0.000196479,0.000196479,E_cuneatum,P_Kesiya
52,36.65641026,2.470596315,0.006744399,0.006744399,F_indica,P_Kesiya
53,36.65641026,0.644503387,0.259624531,0.259624531,G_cowa,P_Kesiya
54,36.65641026,1.539646979,0.061823214,0.061823214,P_debilis,P_Kesiya
55,36.65641026,1.038366567,0.149549714,0.149549714,P_evecta_leaf,P_Kesiya
56,36.65641026,1.289006773,0.098697866,0.098697866,B_insulana,R_javanica
57,36.65641026,1.969315904,0.024458413,0.024458413,C_formosum,R_javanica
58,36.65641026,1.396424004,0.081293425,0.081293425,D_castanea_leaf,R_javanica
59,36.65641026,-0.96675508,0.166833243,0.166833243,D_winitii,R_javanica
60,36.65641026,2.470596315,0.006744399,0.006744399,E_cherrevensis,R_javanica
61,36.65641026,2.255761853,0.012042775,0.012042775,E_cuneatum,R_javanica
62,36.65641026,1.181589542,0.118684303,0.118684303,F_indica,R_javanica
63,36.65641026,-0.644503387,0.259624531,0.259624531,G_cowa,R_javanica
64,36.65641026,0.250640206,0.401046147,0.401046147,P_debilis,R_javanica
65,36.65641026,-0.250640206,0.401046147,0.401046147,P_evecta_leaf,R_javanica
66,36.65641026,-1.289006773,0.098697866,0.098697866,P_Kesiya,R_javanica
67,36.65641026,0.572891899,0.283358945,0.283358945,B_insulana,T_mucronata
68,36.65641026,1.25320103,0.105066278,0.105066278,C_formosum,T_mucronata
69,36.65641026,0.68030913,0.248154372,0.248154372,D_castanea_leaf,T_mucronata
70,36.65641026,-1.682869954,0.046200135,0.046200135,D_winitii,T_mucronata
71,36.65641026,1.754481441,0.039674024,0.039674024,E_cherrevensis,T_mucronata
72,36.65641026,1.539646979,0.061823214,0.061823214,E_cuneatum,T_mucronata
73,36.65641026,0.465474668,0.320795787,0.320795787,F_indica,T_mucronata
74,36.65641026,-1.360618261,0.086817179,0.086817179,G_cowa,T_mucronata
75,36.65641026,-0.465474668,0.320795787,0.320795787,P_debilis,T_mucronata
76,36.65641026,-0.96675508,0.166833243,0.166833243,P_evecta_leaf,T_mucronata
77,36.65641026,-2.005121647,0.022475022,0.022475022,P_Kesiya,T_mucronata
78,36.65641026,-0.716114874,0.23696021,0.23696021,R_javanica,T_mucronata
