,chi2,Z,P,P.adjusted,comparitor_1,comparitor_2
1,20.86666667,2.598076211,0.004687384,0.004687384,C_formosum,C_oblongifolius
2,20.86666667,0.288675135,0.386414996,0.386414996,C_formosum,G_cowa
3,20.86666667,-2.309401077,0.010460668,0.010460668,C_oblongifolius,G_cowa
4,20.86666667,2.309401077,0.010460668,0.010460668,C_formosum,P_anamense
5,20.86666667,-0.288675135,0.386414996,0.386414996,C_oblongifolius,P_anamense
6,20.86666667,2.020725942,0.021654071,0.021654071,G_cowa,P_anamense
7,20.86666667,-0.923760431,0.177805531,0.177805531,C_formosum,P_debilis
8,20.86666667,-3.521836642,0.000214284,0.000214284,C_oblongifolius,P_debilis
9,20.86666667,-1.212435565,0.112672847,0.112672847,G_cowa,P_debilis
10,20.86666667,-3.233161507,0.000612142,0.000612142,P_anamense,P_debilis
11,20.86666667,1.674315781,0.047034277,0.047034277,C_formosum,P_evecta_leaf
12,20.86666667,-0.923760431,0.177805531,0.177805531,C_oblongifolius,P_evecta_leaf
13,20.86666667,1.385640646,0.08292833,0.08292833,G_cowa,P_evecta_leaf
14,20.86666667,-0.635085296,0.262686393,0.262686393,P_anamense,P_evecta_leaf
15,20.86666667,2.598076211,0.004687384,0.004687384,P_debilis,P_evecta_leaf
16,20.86666667,0.230940108,0.408680666,0.408680666,C_formosum,P_evecta_Rhizome
17,20.86666667,-2.367136104,0.00896317,0.00896317,C_oblongifolius,P_evecta_Rhizome
18,20.86666667,-0.057735027,0.476979846,0.476979846,G_cowa,P_evecta_Rhizome
19,20.86666667,-2.078460969,0.018833461,0.018833461,P_anamense,P_evecta_Rhizome
20,20.86666667,1.154700538,0.124106539,0.124106539,P_debilis,P_evecta_Rhizome
21,20.86666667,-1.443375673,0.074457337,0.074457337,P_evecta_leaf,P_evecta_Rhizome
22,20.86666667,0.981495458,0.163174237,0.163174237,C_formosum,P_Kesiya
23,20.86666667,-1.616580754,0.052984405,0.052984405,C_oblongifolius,P_Kesiya
24,20.86666667,0.692820323,0.244211158,0.244211158,G_cowa,P_Kesiya
25,20.86666667,-1.327905619,0.092104644,0.092104644,P_anamense,P_Kesiya
26,20.86666667,1.905255888,0.028373408,0.028373408,P_debilis,P_Kesiya
27,20.86666667,-0.692820323,0.244211158,0.244211158,P_evecta_leaf,P_Kesiya
28,20.86666667,0.75055535,0.226460151,0.226460151,P_evecta_Rhizome,P_Kesiya
